"id","name","slug","created_at","updated_at","deleted_at","cityId","latitude","longitude"
93,"Torbalı","torbali","2018-05-28 11:46:57","2018-05-28 11:46:57",,3,,
94,"Urla","urla","2018-05-28 11:46:57","2018-05-28 11:46:57",,3,,
95,"Büyükorhan","buyukorhan","2018-05-28 11:46:57","2018-05-28 11:46:57",,4,,
96,"Gemlik","gemlik","2018-05-28 11:46:57","2018-05-28 11:46:57",,4,,
97,"Gürsu","gursu","2018-05-28 11:46:57","2018-05-28 11:46:57",,4,,
98,"Harmancık","harmancik","2018-05-28 11:46:57","2018-05-28 11:46:57",,4,,
99,"İnegöl","inegol","2018-05-28 11:46:57","2018-05-28 11:46:57",,4,,
100,"İznik","iznik","2018-05-28 11:46:57","2018-05-28 11:46:57",,4,,
101,"Karacabey","karacabey","2018-05-28 11:46:57","2018-05-28 11:46:57",,4,,
102,"Keles","keles","2018-05-28 11:46:57","2018-05-28 11:46:57",,4,,
103,"Kestel","kestel","2018-05-28 11:46:57","2018-05-28 11:46:57",,4,,
104,"Mudanya","mudanya","2018-05-28 11:46:57","2018-05-28 11:46:57",,4,,
105,"Mustafakemalpaşa","mustafakemalpasa","2018-05-28 11:46:57","2018-05-28 11:46:57",,4,,
106,"Nilüfer","nilufer","2018-05-28 11:46:57","2018-05-28 11:46:57",,4,,
107,"Orhaneli","orhaneli","2018-05-28 11:46:57","2018-05-28 11:46:57",,4,,
108,"Orhangazi","orhangazi","2018-05-28 11:46:57","2018-05-28 11:46:57",,4,,
109,"Osmangazi","osmangazi","2018-05-28 11:46:57","2018-05-28 11:46:57",,4,,
110,"Yenişehir","yenisehir","2018-05-28 11:46:57","2018-05-28 11:46:57",,4,,
111,"Yıldırım","yildirim","2018-05-28 11:46:57","2018-05-28 11:46:57",,4,,
112,"Aladağ","aladag","2018-05-28 11:46:57","2018-05-28 11:46:57",,5,,
113,"Ceyhan","ceyhan","2018-05-28 11:46:57","2018-05-28 11:46:57",,5,,
114,"Çukurova","cukurova","2018-05-28 11:46:57","2018-05-28 11:46:57",,5,,
115,"Feke","feke","2018-05-28 11:46:57","2018-05-28 11:46:57",,5,,
116,"İmamoğlu","imamoglu","2018-05-28 11:46:57","2018-05-28 11:46:57",,5,,
117,"Karaisalı","karaisali","2018-05-28 11:46:57","2018-05-28 11:46:57",,5,,
118,"Karataş","karatas","2018-05-28 11:46:57","2018-05-28 11:46:57",,5,,
119,"Kozan","kozan","2018-05-28 11:46:57","2018-05-28 11:46:57",,5,,
120,"Pozantı","pozanti","2018-05-28 11:46:57","2018-05-28 11:46:57",,5,,
121,"Saimbeyli","saimbeyli","2018-05-28 11:46:57","2018-05-28 11:46:57",,5,,
