"id","name","slug","created_at","updated_at","deleted_at","districtId","latitude","longitude"
40367,"Merkez Bucağı Çatören","merkez-bucagi-catoren","2018-05-28 11:48:00","2018-05-28 11:48:00",,775,,
40380,"Pırnakaban","pirnakaban","2018-05-28 11:48:00","2018-05-28 11:48:00",,775,,
40391,"Tosunlu","tosunlu","2018-05-28 11:48:00","2018-05-28 11:48:00",,775,,
40399,"Yumruveren","yumruveren","2018-05-28 11:48:00","2018-05-28 11:48:00",,775,,
40408,"Başçakmak","bascakmak","2018-05-28 11:48:00","2018-05-28 11:48:00",,776,,
40419,"Düztoprak","duztoprak","2018-05-28 11:48:00","2018-05-28 11:48:00",,776,,
40429,"Çamlıca","camlica","2018-05-28 11:48:00","2018-05-28 11:48:00",,776,,
40439,"Kahramanlar","kahramanlar","2018-05-28 11:48:00","2018-05-28 11:48:00",,776,,
39533,"Yeşilyurt","yesilyurt","2018-05-28 11:47:59","2018-05-28 11:47:59",,132,,
39543,"Zafer","zafer","2018-05-28 11:47:59","2018-05-28 11:47:59",,132,,
39555,"Arındık","arindik","2018-05-28 11:47:59","2018-05-28 11:47:59",,764,,
39566,"Çarşı","carsi","2018-05-28 11:47:59","2018-05-28 11:47:59",,764,,
39580,"Hasbey","hasbey","2018-05-28 11:47:59","2018-05-28 11:47:59",,764,,
39589,"Karataş","karatas","2018-05-28 11:47:59","2018-05-28 11:47:59",,764,,
39597,"Köklüce","kokluce","2018-05-28 11:47:59","2018-05-28 11:47:59",,764,,
39606,"Örencik","orencik","2018-05-28 11:47:59","2018-05-28 11:47:59",,764,,
39619,"Yarımtepe","yarimtepe","2018-05-28 11:47:59","2018-05-28 11:47:59",,764,,
39629,"Canbek","canbek","2018-05-28 11:47:59","2018-05-28 11:47:59",,765,,
39637,"Değirmen Önü","degirmen-onu","2018-05-28 11:47:59","2018-05-28 11:47:59",,765,,
39644,"Elmasuyu","elmasuyu","2018-05-28 11:47:59","2018-05-28 11:47:59",,765,,
39654,"Hazar","hazar","2018-05-28 11:47:59","2018-05-28 11:47:59",,765,,
39666,"Kavak Üstü","kavak-ustu","2018-05-28 11:47:59","2018-05-28 11:47:59",,765,,
39678,"Merkez","merkez","2018-05-28 11:47:59","2018-05-28 11:47:59",,765,,
39684,"Omolar","omolar","2018-05-28 11:47:59","2018-05-28 11:47:59",,765,,
39693,"Tarlatepe","tarlatepe","2018-05-28 11:47:59","2018-05-28 11:47:59",,765,,
39707,"Yedipınar","yedipinar","2018-05-28 11:47:59","2018-05-28 11:47:59",,765,,
39717,"Büyükyaylaköy","buyukyaylakoy","2018-05-28 11:47:59","2018-05-28 11:47:59",,766,,
39726,"Bozağa","bozaga","2018-05-28 11:47:59","2018-05-28 11:47:59",,766,,
39735,"Oğultaşı","ogultasi","2018-05-28 11:47:59","2018-05-28 11:47:59",,766,,
39746,"Paşayurdu","pasayurdu","2018-05-28 11:47:59","2018-05-28 11:47:59",,766,,
39756,"Yukarıçamurdere","yukaricamurdere","2018-05-28 11:47:59","2018-05-28 11:47:59",,766,,
39766,"Bürüncek","buruncek","2018-05-28 11:47:59","2018-05-28 11:47:59",,767,,
39777,"Dolugün","dolugun","2018-05-28 11:47:59","2018-05-28 11:47:59",,767,,
39789,"Karakaya","karakaya","2018-05-28 11:47:59","2018-05-28 11:47:59",,767,,
39798,"Kaymaklı","kaymakli","2018-05-28 11:47:59","2018-05-28 11:47:59",,767,,
39813,"Tabanlı","tabanli","2018-05-28 11:47:59","2018-05-28 11:47:59",,767,,
39821,"Ağaçsaray","agacsaray","2018-05-28 11:47:59","2018-05-28 11:47:59",,768,,
39831,"Ayranpınar","ayranpinar","2018-05-28 11:47:59","2018-05-28 11:47:59",,768,,
39841,"Doğanbeyli","doganbeyli","2018-05-28 11:47:59","2018-05-28 11:47:59",,768,,
39851,"Hakbilir","hakbilir","2018-05-28 11:47:59","2018-05-28 11:47:59",,768,,
39858,"Merkez","merkez","2018-05-28 11:47:59","2018-05-28 11:47:59",,768,,
39869,"Ortagedik","ortagedik","2018-05-28 11:48:00","2018-05-28 11:48:00",,768,,
39877,"Tuzla","tuzla","2018-05-28 11:48:00","2018-05-28 11:48:00",,768,,
39893,"Akçalı","akcali","2018-05-28 11:48:00","2018-05-28 11:48:00",,769,,
39902,"Güldibi","guldibi","2018-05-28 11:48:00","2018-05-28 11:48:00",,769,,
39914,"Harmankaya","harmankaya","2018-05-28 11:48:00","2018-05-28 11:48:00",,769,,
39923,"Kabataş","kabatas","2018-05-28 11:48:00","2018-05-28 11:48:00",,769,,
39936,"Sandık","sandik","2018-05-28 11:48:00","2018-05-28 11:48:00",,769,,
39947,"Yeşilyayla","yesilyayla","2018-05-28 11:48:00","2018-05-28 11:48:00",,769,,
39955,"Bahçelievler","bahcelievler","2018-05-28 11:48:00","2018-05-28 11:48:00",,132,,
39965,"Beşsaray","bessaray","2018-05-28 11:48:00","2018-05-28 11:48:00",,132,,
39974,"Cengiz Topel","cengiz-topel","2018-05-28 11:48:00","2018-05-28 11:48:00",,132,,
39990,"Demetevler","demetevler","2018-05-28 11:48:00","2018-05-28 11:48:00",,132,,
39998,"Günebakan","gunebakan","2018-05-28 11:48:00","2018-05-28 11:48:00",,132,,
40005,"Hancı","hanci","2018-05-28 11:48:00","2018-05-28 11:48:00",,132,,
40021,"Karatuş","karatus","2018-05-28 11:48:00","2018-05-28 11:48:00",,132,,
40033,"Mengüceli","menguceli","2018-05-28 11:48:00","2018-05-28 11:48:00",,132,,
40043,"Oğlaktepe","oglaktepe","2018-05-28 11:48:00","2018-05-28 11:48:00",,132,,
40053,"Pınarönü","pinaronu","2018-05-28 11:48:00","2018-05-28 11:48:00",,132,,
40063,"Yenimahalle","yenimahalle","2018-05-28 11:48:00","2018-05-28 11:48:00",,132,,
40072,"Küçükotlukbeli","kucukotlukbeli","2018-05-28 11:48:00","2018-05-28 11:48:00",,771,,
40080,"Yeniköy","yenikoy","2018-05-28 11:48:00","2018-05-28 11:48:00",,771,,
40093,"Ardıçlık","ardiclik","2018-05-28 11:48:00","2018-05-28 11:48:00",,772,,
40103,"Baloğlu","baloglu","2018-05-28 11:48:00","2018-05-28 11:48:00",,772,,
40116,"Çukurçimen","cukurcimen","2018-05-28 11:48:00","2018-05-28 11:48:00",,772,,
40123,"Doğandere","dogandere","2018-05-28 11:48:00","2018-05-28 11:48:00",,772,,
40133,"Kadıköy","kadikoy","2018-05-28 11:48:00","2018-05-28 11:48:00",,772,,
40144,"Kazören","kazoren","2018-05-28 11:48:00","2018-05-28 11:48:00",,772,,
40156,"Kova","kova","2018-05-28 11:48:00","2018-05-28 11:48:00",,772,,
40164,"Leventler","leventler","2018-05-28 11:48:00","2018-05-28 11:48:00",,772,,
40173,"Salur","salur","2018-05-28 11:48:00","2018-05-28 11:48:00",,772,,
40185,"Sıralı","sirali","2018-05-28 11:48:00","2018-05-28 11:48:00",,772,,
